pk,movie_id,keyword_id
847,1087040,18321
848,1087040,158436
849,1087040,195997
850,1087040,237847
851,1087040,301766
852,899112,65
853,899112,1991
854,899112,3070
855,899112,12200
856,899112,163841
857,899112,179431
858,899112,207317
859,650270,1488
860,650270,6075
861,650270,9914
862,650270,10873
863,650270,13141
864,650270,207826
865,650270,210024
866,724495,409
867,724495,2692
868,724495,3389
869,724495,9672
870,724495,163120
871,724495,179431
872,724495,187056
873,724495,191316
874,724495,207928
875,724495,208556
876,724495,221137
877,724495,229607
878,724495,234980
879,724495,251412
880,724495,265270
881,874743,818
882,874743,33465
883,874743,210024
884,829560,3149
885,829560,158713
886,829560,189141
887,230622,2217
888,230622,5609
889,230622,14544
890,230622,223612
891,1121116,269769
892,964426,1956
893,964426,10261
894,964426,180974
895,964426,186831
896,964426,191003
897,198380,745
898,198380,9835
899,198380,178649
900,555604,131
901,555604,818
902,555604,1755
903,555604,2720
904,555604,4344
905,555604,5332
906,555604,8077
907,555604,10121
908,555604,177895
909,555604,179431
910,555604,207883
911,555604,210037
912,555604,302735
913,19995,1463
914,19995,2964
915,19995,3386
916,19995,3388
917,19995,3679
918,19995,3801
919,19995,9685
920,19995,9840
921,19995,9882
922,19995,9951
923,19995,10148
924,19995,10158
925,19995,11399
926,19995,13065
927,19995,14643
928,19995,14720
929,19995,18330
930,19995,165431
931,19995,193554
932,19995,206690
933,987257,6496
934,987257,169055
935,987257,208611
936,1058732,65
937,1058732,164920
938,1058732,207317
939,1058732,258841
940,615656,818
941,615656,9663
942,615656,161791
943,49046,818
944,49046,2504
945,49046,11117
946,49046,14643
947,49046,15060
948,49046,191004
949,49046,210184
950,49046,230333
951,568124,1647
952,568124,1900
953,568124,2343
954,568124,2660
955,568124,3258
956,568124,4344
957,568124,4498
958,568124,5774
959,568124,6152
960,568124,6625
961,568124,9075
962,568124,10235
963,568124,10809
964,568124,11322
965,568124,11334
966,568124,155294
967,568124,181052
968,568124,226023
969,568124,285275
970,785084,428
971,785084,440
972,785084,802
973,785084,2347
974,785084,6782
975,785084,9872
976,785084,9974
977,785084,10181
978,785084,10226
979,785084,10508
980,785084,11001
981,785084,11436
982,785084,13095
983,785084,15134
984,785084,15161
985,785084,33720
986,785084,34079
987,785084,158718
988,785084,164181
989,785084,172383
990,785084,179383
991,785084,181834
992,785084,188720
993,785084,188730
994,785084,216734
995,785084,234041
996,785084,240303
997,785084,257783
998,785084,276142
999,785084,286239
1000,785084,303861
1001,785084,304337
1002,785084,308600
1003,785084,310118
1004,785084,318003
1005,823999,5451
1006,823999,6168
1007,823999,9717
1008,823999,158992
1009,823999,276449
1010,823999,302772
1011,823999,307144
1012,438148,1228
1013,438148,179431
1014,438148,299811
1015,438148,302503
1016,508947,1329
1017,508947,1370
1018,508947,1530
1019,508947,4227
1020,508947,6029
1021,508947,6054
1022,508947,10683
1023,508947,10809
1024,508947,11322
1025,508947,14988
1026,508947,18165
1027,508947,157722
1028,508947,164657
1029,508947,179430
1030,508947,186952
1031,508947,187056
1032,508947,193151
1033,508947,194869
1034,508947,240315
1035,508947,317302
1036,345940,270
1037,345940,818
1038,345940,966
1039,345940,2769
1040,345940,13031
1041,345940,14785
1042,345940,15097
1043,345940,41595
1044,345940,161791
1045,345940,209081
1046,345940,234822
1047,345940,248630
1048,345940,253662
1049,1073413,744
1050,1073413,2723
1051,1073413,5248
1052,1073413,9672
1053,1073413,172391
1054,1073413,172808
1055,1073413,210608
1056,1073413,300166
1057,1026563,2626
1058,9453,131
1059,9453,441
1060,9453,570
1061,9453,738
1062,9453,1405
1063,9453,1817
1064,9453,2280
1065,9453,3035
1066,9453,4426
1067,9453,5049
1068,9453,6038
1069,9453,6255
1070,9453,6628
1071,9453,10886
1072,9453,14707
1073,9453,14794
1074,9453,190370
1075,9453,222185
1076,9453,240620
1077,9453,266959
1078,842942,703
1079,842942,1329
1080,842942,2492
1081,842942,3688
1082,842942,3725
1083,842942,9672
1084,842942,18118
1085,842942,155508
1086,842942,160223
1087,842942,169271
1088,842942,230970
1089,842942,278314
1090,842942,297821
1091,842942,315041
1092,842942,315045
1093,1012404,2343
1094,1012404,238719
1095,1012404,281358
1096,1012404,293198
1097,157336,310
1098,157336,1432
1099,157336,1521
1100,157336,1612
1101,157336,1963
1102,157336,2964
1103,157336,3417
1104,157336,3801
1105,157336,4337
1106,157336,4380
1107,157336,4565
1108,157336,4776
1109,157336,8056
1110,157336,9882
1111,157336,10084
1112,157336,10235
1113,157336,14544
1114,157336,14626
1115,157336,14760
1116,157336,33479
1117,157336,154846
1118,157336,156039
1119,157336,195114
1120,157336,208757
1121,157336,220800
1122,157336,240303
1123,157336,270088
1124,157336,272987
1125,157336,290900
1126,660653,155477
1127,718930,233
1128,718930,782
1129,718930,818
1130,718930,10364
1131,718930,13008
1132,718930,157904
