id,name,profile_path
86978,Keiichi Sato,/grm6T23xLrv0njimG0IkpKxF9hG.jpg
10943,Francis Lawrence,/pyGWo5mAwZ2Koe6leB2RjKd7vmc.jpg
1766723,Choi Jae-hoo,None
19271,Anthony Russo,/xbINBnWn28YygYWUJ1aSAw0xPRv.jpg
19272,Joe Russo,/ph1GRCWVKk6Mz9lMBrxKvlb6Imo.jpg
136495,Damien Chazelle,/14kRZ3XxNMyBv717YQSXr3wCucy.jpg
1308925,Steven K. Tsuchida,None
2403335,Tetsuro Kodama,/e0dOx96EfiKbsKaxiGkZw9XB4ow.jpg
1987284,Carlota Pereda,/8ZPN4k0RZFDSf04r4qJzPoqS9W.jpg
76595,Byron Howard,/ePJXkxrD44nM0VB7Xx9Q4ityzfT.jpg
121830,Nathan Greno,None
15217,Zack Snyder,/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg
3001518,Beth de Araújo,None
10965,Chris Columbus,/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg
85808,Scott Wheeler,None
1828590,Simon McQuoid,/pFKRKvSb6N3CMNZYLpGmdSPIjch.jpg
2613318,Edward Drake,/il6fHejjJ4J7YQt0wKLf7VfpAhN.jpg
15812,Roger Allers,/sdFyM5FNcJuMv7knrz6swaIHXIJ.jpg
18898,Rob Minkoff,/fn5QA0bqJn6tk4Wt1QonjojFPjd.jpg
59918,Rodney Rothman,/75yKuJr1wL8qesEDYL2IHK67BEx.jpg
151007,Peter Ramsey,/9vCpMCgf5R0EQkWbylKTvtxzsB.jpg
936670,Bob Persichetti,/e8ezXe2id6TRTxDsL9lTpw4pM93.jpg
57646,Henry Selick,/2LvtcpV8njWrp2W9eXmTNjsAWev.jpg
125738,Daniel Espinosa,/rq6TkUBkSXvOrmKEjG5lt8kuhF4.jpg
7623,Sam Raimi,/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg
1766705,Kong Ja-kwan,None
7879,John Lasseter,/gAVAZZHBa1v3gTcsWcBUwiHcyA0.jpg
1293994,Jon Watts,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg
1309478,Isaac Ezban,/g5QXsghqGNB6plqiG9bGSgDgmIw.jpg
572295,Howard J. Ford,None
15218,James Gunn,/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg
61411,Mark Dindal,/333OWiQBGLBjAWUemWySFzxCbhx.jpg
11343,David Yates,/hAHOxR0NK4cZDumqNIpDoEdGVAh.jpg
1504645,John Swab,None
893,Tony Scott,/zEEbiNa8Pqw3U6pZ8Z2y3dlJJnC.jpg
67367,Rian Johnson,/7XdyfzyY96k573w39ELIzATM2i9.jpg
8,Lee Unkrich,/crb297utC6W4HSstOe5djDPTwEN.jpg
11343,David Yates,/hAHOxR0NK4cZDumqNIpDoEdGVAh.jpg
94177,Darrell Van Citters,None
19866,Guillaume Canet,/yxerAhXValEezb1EuV9XWc9L8KC.jpg
235430,Timo Tjahjanto,/zKU29Poa4gbJTH4GKmTlgJbloc7.jpg
1234311,Mitch Schauer,None
70103,Fumihiko Sori,None
548478,Isao Hayashi,None
1299642,Julius Avery,/nK9ITHGuAWABC0q3fQUD4JQ9yQ1.jpg
29214,Anne Fletcher,/8gD32nqf3fghg6FZhDbHxuowtyu.jpg
10723,Mike Newell,/zeLnvLZtyJaBP1wWceRM7HWkm0E.jpg
258498,Daniel de la Vega,/fOYkfZNheZgLj6lYNWAPOex9soE.jpg
1317730,Daniel Scheinert,/5VSpMLDEmygCu4bfB89Y7NV6YjM.jpg
1383612,Daniel Kwan,/pwzfO4BUd49jLrcrrb9u0DOi30b.jpg
17633,Rob Marshall,/4cTHkbMpsHHNI23HP3RHNLFoPRz.jpg
11218,Alfonso Cuarón,/eoCHiXaQzGgx9RiwXnt3k239FLc.jpg
232245,Frank Perozo,None
60744,Junichi Suzuki,/wuDq6aKAMo5nfw7Mm4xsrNMxqlJ.jpg
141673,Jason Eisener,/96ErILndIrdRcBkP2uYEbqpjT1g.jpg
19769,David Ayer,/2oBT2jQbsV8IWPMr3Cm87YBJxGu.jpg
1884,Steven Soderbergh,/872DPaUxTlAOhxBb70h3vaWhMvz.jpg
1255731,Junji Nishimura,/sBpmMYShovnIwd8fjKW4mABsiMp.jpg
964826,Chava Cartas,None
